Ниша;Контур;Причина таксономии;Риск вариантов;Риск таксономии;Вердикт воронки;Выручка 30 дней, ₽;Продажи 30 дней, шт;Средний чек, ₽;Активные продавцы;Выручка на активного продавца, ₽;Доля штук Q2/Q1, x;Доля выручки Q2/Q1, x;Положительных шагов, штуки;Положительных шагов, выручка;Entry lift Sep-Oct / Jul-Aug 2025, x;Осенний индекс 2025, x;FBO доля выручки, %;Комиссия FBO MPStats, %;Комиссия FBS MPStats, %;Выкуп после возвратов, %;Оборот, дней;Замороженный остаток, %;Карточек с продажами, %;Продавцов с продажами, %;Demand gate;Autumn gate;Operations gate;Аномалии
Красота / Экстракты для купания;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;21056361.0;24795.0;849.22;355;59313.69;0.7847;0.7984;2;1;1.2132;0.8131;47.43;32.5;36.0;93.64;436.0;92.76;11.51;25.09;0;1;0;
Красота / Румяна;COSMETIC_CORE;cosmetic formula subject;high;medium;NO_CURRENT_SIGNAL;166822742.0;255741.0;652.31;1656;100738.37;0.7806;0.7128;2;2;1.2773;0.8117;52.81;32.5;36.0;86.69;819.0;96.49;8.24;20.0;0;1;0;
Красота / Растворы для разведения хны;COSMETIC_PRO_P2;professional hair-color preparation;low;medium;NO_CURRENT_SIGNAL;384473.0;917.0;419.27;42;9154.12;0.7726;0.8216;2;2;1.2277;0.8845;79.05;32.5;36.0;94.44;318.0;90.01;15.35;25.7;0;1;0;
Красота / Пэды косметические;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;55887714.0;47448.0;1177.87;657;85065.01;0.7721;0.6651;1;1;1.2787;0.5564;51.43;32.5;36.0;88.03;316.0;93.15;4.55;21.11;0;1;0;
Красота / Гели для бритья;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;74135910.0;91706.0;808.41;643;115296.91;0.7717;0.8438;3;4;1.1021;0.7858;25.27;32.5;36.0;94.99;140.0;85.9;13.82;23.37;0;1;0;
Красота / Хайлайтеры;COSMETIC_CORE;cosmetic formula subject;high;medium;NO_CURRENT_SIGNAL;90296239.0;143592.0;628.84;1423;63454.84;0.7706;0.7789;2;1;1.1841;0.7455;52.45;32.5;36.0;85.45;641.0;96.1;4.03;17.94;0;1;0;
Красота / Праймеры для ресниц;COSMETIC_PRO_P2;"professional chemical product; safety/use validation required";medium;medium;NO_CURRENT_SIGNAL;2990655.0;6456.0;463.24;165;18125.18;0.7683;0.846;2;2;1.0795;0.9451;67.52;32.5;36.0;89.26;344.0;90.76;18.07;19.29;0;1;0;
Красота / Жидкие подводки;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;103266475.0;192782.0;535.66;1258;82087.82;0.7662;0.7548;1;1;1.1841;0.8045;39.69;31.5;35.0;92.02;619.0;96.19;8.77;15.38;0;1;0;
Красота / Убтаны;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;1382883.0;2558.0;540.61;70;19755.47;0.7652;0.7768;1;1;1.6973;0.9375;54.08;32.5;36.0;100.0;414.0;93.55;18.7;19.42;0;1;0;
Красота / Бальзамы;COSMETIC_CORE;cosmetic formula subject;medium;high;NO_CURRENT_SIGNAL;594310373.0;854563.0;695.46;4289;138566.19;0.7642;0.7514;1;1;0.8679;0.9423;34.26;28.5;32.0;93.44;211.0;88.62;13.79;25.05;0;1;0;
Красота / Пилинг;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;165056367.0;200866.0;821.72;1920;85966.86;0.756;0.7331;1;1;1.2545;0.786;51.8;30.0;33.5;90.46;178.0;86.8;10.6;20.13;0;1;0;
Красота / Средства для роста бровей и ресниц;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;19726518.0;22907.0;861.16;581;33952.7;0.7537;0.7185;1;1;1.0531;0.9026;51.26;32.5;36.0;89.74;753.0;97.03;7.77;18.86;0;1;0;
Красота / Гели для моделирования ногтей;COSMETIC_NAIL_P2;cosmetic chemistry, but shade/SKU depth and professional-use risk;high;medium;NO_CURRENT_SIGNAL;271394559.0;439377.0;617.68;930;291822.11;0.7505;0.6686;1;1;1.425;0.9514;44.58;32.5;36.0;91.92;75.0;78.12;35.97;35.7;0;1;1;
Красота / Эссенции;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;59595974.0;24394.0;2443.06;866;68817.52;0.7464;0.9228;1;2;1.2318;0.9725;18.47;32.5;36.0;86.78;1474.0;98.25;6.85;14.99;0;1;0;
Красота / Гидрофильные масла;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;58288726.0;72978.0;798.72;1018;57258.08;0.7456;0.7183;1;1;0.8262;0.7338;65.08;32.5;36.0;93.38;164.0;87.74;8.71;19.24;0;0;0;
Красота / Эфирные масла;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;134789025.0;159209.0;846.62;1496;90099.62;0.7454;0.7192;0;1;0.6767;1.1512;10.71;32.5;36.0;92.16;330.0;95.52;13.29;23.21;0;1;0;
Красота / Пены для бритья;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;69656287.0;99037.0;703.34;652;106834.8;0.7419;0.9171;3;4;1.0768;0.8234;22.97;32.5;36.0;95.3;118.0;82.08;16.29;20.79;0;1;0;
Красота / Тинты для губ;COSMETIC_CORE;cosmetic formula subject;high;medium;NO_CURRENT_SIGNAL;66994377.0;148648.0;450.69;968;69209.07;0.7335;0.6988;2;1;1.3665;0.9259;67.84;32.5;36.0;90.26;474.0;93.49;10.73;18.02;0;1;0;
Красота / Тени;COSMETIC_CORE;cosmetic formula subject;high;medium;NO_CURRENT_SIGNAL;330795066.0;545635.0;606.26;2421;136635.71;0.7286;0.6733;2;2;1.3817;0.8377;39.48;32.5;36.0;86.9;886.0;97.06;4.49;19.99;0;1;0;
Красота / Праймеры для ногтей;COSMETIC_NAIL_P2;cosmetic chemistry, but shade/SKU depth and professional-use risk;high;medium;NO_CURRENT_SIGNAL;10500613.0;18880.0;556.18;369;28456.95;0.7241;0.6828;1;1;1.0003;0.895;27.62;32.5;36.0;92.6;59.0;83.08;31.25;27.63;0;0;0;
Красота / Ремуверы для удаления татуажа;COSMETIC_PRO_P2;"professional chemical product; safety/use validation required";medium;medium;NO_CURRENT_SIGNAL;3068589.0;2510.0;1222.55;94;32644.56;0.719;0.4752;3;1;1.305;0.8413;53.49;31.5;35.0;72.94;1577.0;97.92;10.98;9.14;0;1;0;
Красота / Средства для снятия ресниц;COSMETIC_PRO_P2;"professional chemical product; safety/use validation required";medium;medium;NO_CURRENT_SIGNAL;27224567.0;60798.0;447.79;221;123188.09;0.7187;0.6607;1;1;0.9613;0.844;90.47;32.5;36.0;91.99;57.0;67.03;23.5;30.2;0;0;0;
Красота / Жидкости для снятия нарощенных волос;COSMETIC_PRO_P2;"professional remover; safety and use validation required";low;medium;NO_CURRENT_SIGNAL;710670.0;1373.0;517.6;53;13408.87;0.7124;0.6634;0;0;0.8015;0.8913;51.86;32.5;36.0;87.32;3688.0;99.64;2.01;3.98;0;0;0;
Красота / Маски альгинатные;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;21054498.0;20462.0;1028.96;352;59813.91;0.709;0.6684;2;1;1.026;0.9327;50.51;32.5;36.0;92.35;239.0;89.04;11.56;14.67;0;1;0;
Красота / Масла;COSMETIC_CORE;cosmetic formula subject;medium;high;NO_CURRENT_SIGNAL;462851503.0;578464.0;800.14;4107;112698.2;0.7076;0.5703;1;2;0.9043;0.9665;43.46;32.5;36.0;91.83;180.0;89.66;15.43;26.11;0;1;0;
Красота / Блески;COSMETIC_CORE;cosmetic formula subject;high;medium;NO_CURRENT_SIGNAL;263199719.0;466320.0;564.42;2222;118451.72;0.7034;0.6438;2;0;1.2937;0.7596;42.79;32.5;36.0;90.06;573.0;95.31;8.34;20.47;0;1;0;
Красота / Обезжириватели для ногтей;COSMETIC_NAIL_P2;cosmetic chemistry, but shade/SKU depth and professional-use risk;high;medium;NO_CURRENT_SIGNAL;11599097.0;15570.0;744.96;363;31953.44;0.7009;0.6733;1;1;0.9894;0.8266;32.97;30.5;34.0;93.26;103.0;94.59;12.55;24.39;0;0;0;
Красота / Мыло косметическое;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;471304493.0;698188.0;675.04;4502;104687.8;0.691;0.6442;2;1;1.1423;0.789;27.85;32.5;36.0;95.15;358.0;94.83;10.1;25.63;0;1;0;
Красота / Патчи;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;192897396.0;293498.0;657.24;2735;70529.21;0.6838;0.6444;1;1;1.0209;0.7356;41.65;32.5;36.0;94.45;551.0;97.73;2.97;17.57;0;1;0;
Красота / Скрабы;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;250270981.0;401808.0;622.86;2507;99828.87;0.6798;0.6181;3;3;1.1186;0.7171;59.5;32.5;36.0;92.18;280.0;90.39;8.99;19.16;0;1;0;
Красота / Сборы для ванн;COSMETIC_BATH_P2;"bath preparation; product-level formula verification required";low;high;NO_CURRENT_SIGNAL;7854082.0;4195.0;1872.25;152;51671.59;0.673;0.7352;2;2;2.8224;0.4231;10.07;32.5;36.0;94.08;263.0;94.46;16.85;20.64;0;1;0;
Красота / Пена для ванны;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;58964984.0;95405.0;618.05;910;64796.69;0.6503;0.664;1;1;1.3232;0.8856;38.9;32.5;36.0;92.87;405.0;92.72;9.77;27.24;0;1;0;
Красота / Шиммер для ванн;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;792469.0;1446.0;548.04;77;10291.81;0.6479;0.532;3;3;3.3954;0.3698;55.63;27.5;31.0;92.31;344.0;92.36;10.78;16.01;0;1;0;
Красота / Гель-краски для ногтей;COSMETIC_NAIL_P2;cosmetic chemistry, but shade/SKU depth and professional-use risk;high;medium;NO_CURRENT_SIGNAL;15132657.0;25503.0;593.37;378;40033.48;0.6456;0.7221;2;2;1.5621;0.8406;29.15;32.5;36.0;90.73;188.0;92.87;17.98;32.8;0;1;0;
Красота / Растворы для ирригатора;COSMETIC_ORAL_P2;"oral-care solution; formula and product classification required";low;high;NO_CURRENT_SIGNAL;8295660.0;12682.0;654.13;122;67997.21;0.6374;0.6746;0;1;1.3485;0.8331;71.76;27.5;31.0;96.33;135.0;81.29;26.31;28.34;0;1;0;
Красота / Соль для ванн;COSMETIC_CORE;finished bath cosmetic preparation;low;medium;NO_CURRENT_SIGNAL;98753986.0;162069.0;609.33;1458;67732.5;0.6035;0.586;0;0;0.9562;0.8971;33.19;29.5;33.0;93.02;303.0;92.07;8.06;20.73;0;0;0;
Красота / Закрепители для ресниц;COSMETIC_PRO_P2;"professional chemical product; safety/use validation required";medium;medium;NO_CURRENT_SIGNAL;36851678.0;28491.0;1293.45;148;248997.82;0.5719;0.4652;1;1;1.081;0.9844;91.04;32.5;36.0;84.55;77.0;69.12;23.15;20.85;0;1;0;
Красота / Парафин косметический;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;9477702.0;15493.0;611.74;231;41029.01;0.5647;0.5081;1;0;1.9472;0.6537;56.06;32.5;36.0;93.0;312.0;90.1;17.92;26.67;0;1;0;
Красота / Гигиенические помады;COSMETIC_CORE;cosmetic formula subject;high;medium;NO_CURRENT_SIGNAL;75810936.0;120216.0;630.62;1590;47679.83;0.5632;0.7108;0;1;0.6731;1.0169;21.41;32.5;36.0;92.25;1268.0;98.2;8.49;17.46;0;1;0;
Красота / Воски для ногтей;COSMETIC_NAIL_P2;finished nail cosmetic preparation;medium;medium;NO_CURRENT_SIGNAL;6165735.0;10372.0;594.46;157;39272.2;0.5434;0.664;3;2;1.7192;0.6206;46.22;27.5;31.0;95.12;119.0;83.19;33.94;32.42;0;1;0;
Красота / Твердые шампуни;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;30582149.0;52944.0;577.63;735;41608.37;0.5378;0.4801;2;0;1.7763;0.6413;45.24;32.5;36.0;95.06;381.0;94.51;5.19;19.91;0;1;0;
Красота / Маски тканевые косметические;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;111738225.0;189469.0;589.74;2039;54800.5;0.5193;0.4825;3;0;0.8761;0.72;49.74;32.5;36.0;94.02;241.0;92.63;7.92;19.9;0;0;0;
Красота / Отдушки косметические;COSMETIC_PRO_P2;"professional chemical product; safety/use validation required";medium;medium;NO_CURRENT_SIGNAL;37147495.0;44995.0;825.59;272;136571.67;0.5085;0.491;1;3;1.9016;1.0066;30.97;32.5;36.0;89.18;180.0;86.07;23.02;30.79;0;1;0;
Красота / Средства для удаления кутикулы;COSMETIC_PRO_P2;"professional chemical product; safety/use validation required";medium;medium;NO_CURRENT_SIGNAL;13857864.0;29248.0;473.81;591;23448.16;0.4892;0.5255;0;0;0.9272;0.8093;31.61;32.0;35.5;91.71;687.0;97.7;6.63;15.79;0;0;0;
Красота / Бомбочки для ванны;COSMETIC_CORE;finished rinse-off/bath cosmetic preparation;low;medium;NO_CURRENT_SIGNAL;74599328.0;143586.0;519.54;1018;73280.28;0.4797;0.4672;2;1;0.7576;0.7857;41.22;32.5;36.0;92.08;420.0;94.03;7.98;20.67;0;0;0;
Красота / Наборы декоративной косметики;COSMETIC_CORE;cosmetic formula subject;high;medium;NO_CURRENT_SIGNAL;161755451.0;120871.0;1338.25;1981;81653.43;0.4436;0.5525;4;3;1.2028;0.6098;44.44;32.5;36.0;85.72;648.0;96.76;7.68;19.26;0;1;0;
Красота / Косметические наборы для ухода;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;797748605.0;454365.0;1755.74;4680;170459.1;0.317;0.4795;2;2;1.032;0.6693;31.1;32.5;36.0;90.99;541.0;96.29;10.19;21.91;0;1;0;
Красота / Вода косметическая;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;0.0;0.0;0;0;0;0.0;0.0;4;4;0.0;0.0;0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0;1;0;JAN_JUN_REVENUE_SWING_GT_10X|CLICKS_ZERO_OR_MISSING
Красота / Кушоны;COSMETIC_CORE;cosmetic formula subject;high;medium;NO_CURRENT_SIGNAL;0.0;0.0;0;0;0;0.0;0.0;4;4;0.0;1.7938;0;0.0;0.0;100.0;0.0;100.0;0.0;0.0;0;1;0;JAN_JUN_REVENUE_SWING_GT_10X|CLICKS_ZERO_OR_MISSING
Красота / Мицеллярная вода;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;0.0;0.0;0;0;0;0.0;0.0;5;5;0.0;0.0;0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0;1;0;CLICKS_ZERO_OR_MISSING
Красота / Настои для бани;COSMETIC_BATH_P2;"bath preparation; product-level formula verification required";low;high;NO_CURRENT_SIGNAL;0.0;0.0;0;0;0;0.0;0.0;5;5;0.0;0.0;0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0;1;0;CLICKS_ZERO_OR_MISSING
Красота / Отбеливающие карандаши для зубов;COSMETIC_ORAL_P2;"oral whitening cosmetic; active level and SGR route must be checked";low;high;NO_CURRENT_SIGNAL;0.0;0.0;0;0;0;0.0;0.0;5;5;0.0;0.0;0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0;1;0;CLICKS_ZERO_OR_MISSING
Красота / Удалитель накладных ресниц;COSMETIC_PRO_P2;"professional remover; safety and use validation required";low;medium;NO_CURRENT_SIGNAL;0.0;0.0;0;0;0;0.0;0.0;5;5;1.3106;2.3249;0;0.0;0.0;93.24;0.0;0.0;0.0;0.0;0;1;0;JAN_JUN_REVENUE_SWING_GT_10X|CLICKS_ZERO_OR_MISSING
Красота / Шампуни для бани;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;0.0;0.0;0;0;0;0.0;0.0;5;5;0.0;0.0;0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0;1;0;CLICKS_ZERO_OR_MISSING
Красота / Шампуни для париков;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;0.0;0.0;0;0;0;0.0;0.0;5;5;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;CLICKS_ZERO_OR_MISSING
