Ниша;Контур;Причина таксономии;Риск вариантов;Риск таксономии;Вердикт воронки;Выручка 30 дней, ₽;Продажи 30 дней, шт;Средний чек, ₽;Активные продавцы;Выручка на активного продавца, ₽;Доля штук Q2/Q1, x;Доля выручки Q2/Q1, x;Положительных шагов, штуки;Положительных шагов, выручка;Entry lift Sep-Oct / Jul-Aug 2025, x;Осенний индекс 2025, x;FBO доля выручки, %;Комиссия FBO MPStats, %;Комиссия FBS MPStats, %;Выкуп после возвратов, %;Оборот, дней;Замороженный остаток, %;Карточек с продажами, %;Продавцов с продажами, %;Demand gate;Autumn gate;Operations gate;Аномалии
Красота / Кремы для бани;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;2822249.0;3091.0;913.05;223;12655.83;0.9041;0.9947;3;2;1.0195;0.912;8.16;32.5;36.0;100.0;1181.0;98.31;9.51;13.86;0;0;0;
Красота / Присыпки;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;22584773.0;47389.0;476.58;581;38872.24;0.9001;0.891;1;1;0.6396;0.7645;57.02;27.5;31.0;94.49;187.0;90.19;15.25;25.75;0;0;0;
Красота / Косметические активы;COSMETIC_PRO_P2;"professional chemical product; safety/use validation required";medium;medium;NO_CURRENT_SIGNAL;140990056.0;66481.0;2120.76;488;288914.05;0.8987;1.2852;2;2;1.6702;0.7382;11.74;31.5;35.0;91.56;731.0;97.12;15.4;18.01;0;1;0;
Красота / Носки косметические;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;31580029.0;87900.0;359.27;610;51770.54;0.8924;0.71;2;2;1.0371;0.5887;71.87;32.5;36.0;94.81;472.0;96.35;2.51;12.76;0;1;0;
Красота / Активаторы клея для ресниц;COSMETIC_PRO_P2;"professional chemical product; safety/use validation required";medium;medium;NO_CURRENT_SIGNAL;3842887.0;4822.0;796.95;99;38817.04;0.8895;1.3036;1;2;1.0774;0.901;37.89;32.5;36.0;90.6;1209.0;97.76;10.45;7.44;0;1;0;
Красота / Краски для тату;COSMETIC_PRO_P2;"professional chemical product; safety/use validation required";medium;medium;NO_CURRENT_SIGNAL;30333716.0;22142.0;1369.96;157;193208.38;0.8834;0.7976;4;3;1.2743;0.8228;49.97;31.5;35.0;84.13;297.0;92.65;21.54;11.91;0;1;0;
Красота / Кремы;COSMETIC_CORE;cosmetic formula subject;medium;high;NO_CURRENT_SIGNAL;4347555850.0;5352052.0;812.32;12783;340104.5;0.881;0.8121;1;1;0.804;0.7924;45.88;32.5;36.0;92.77;267.0;91.81;8.71;29.86;0;0;0;
Красота / Гели для бровей;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;185028126.0;424159.0;436.22;1431;129299.88;0.8778;0.8306;2;2;1.0819;0.7948;85.78;32.5;36.0;88.74;141.0;76.14;7.17;17.84;0;1;0;
Красота / Основы под лаки;COSMETIC_PRO_P2;"professional chemical product; safety/use validation required";medium;medium;NO_CURRENT_SIGNAL;4973214.0;5848.0;850.41;169;29427.3;0.8764;1.005;3;3;1.6613;0.9488;16.85;32.5;36.0;91.54;243.0;94.17;19.97;19.44;0;1;0;
Красота / Косметические карандаши;COSMETIC_CORE;cosmetic formula subject;high;medium;NO_CURRENT_SIGNAL;499910474.0;1201450.0;416.09;2339;213728.29;0.8748;0.8246;2;1;1.3482;0.8068;45.95;32.0;35.5;91.67;159.0;81.63;13.81;23.1;0;1;0;
