"Название предмета";"Сезонность ниши";"Дата обнаружения";"Комиссия FBO";"Комиссия FBS";"Товары, шт.";"Количество новинок";"Товары с остатками, шт.";"% товаров с остатками";"Товары с движением, шт.";"% товаров с движением";"Товары с продажами, шт.";"% товаров с продажами";"% товаров с продажами от товаров с движением";"Бренды";"Бренды с продажами";"% брендов с продажами";"Продавцы";"Продавцы с продажами";"% продавцов с продажами";"Продажи, шт.";"Выручка, ₽";"Упущенная выручка, ₽";"Упущенная выручка %";"Потенциал, ₽";"Средний % выкупа";"Средний % выкупа с учётом возвратов";"Сумма выкупа, ₽";"Сумма выкупа с учётом возвратов, ₽";"Суммарные остатки, шт.";"Замороженный остаток, шт.";"Замороженный остаток в цене, ₽";"Замороженный остаток, %";"Оборачиваемость, дн.";"Минимальная цена, ₽";"Максимальная цена, ₽";"Средняя цена, ₽";"Медианная цена, ₽";"Минимальная цена с продажами, ₽";"Максимальная цена с продажами, ₽";"Средняя цена с продажами, ₽";"Медианная цена с продажами, ₽";"Средний рейтинг";"Средний рейтинг с продажами";"Средний дробный рейтинг";"Средний дробный рейтинг с продажами";"Количество кликов на карточку";"% добавления в корзину";"% оформления заказов"
"Товары для отдыха и кемпинга / Биотуалеты";"2";"2020-05-07";"28,5";"32";"6677";"864";"111";"1,66";"160";"2,4";"122";"1,83";"76,25";"266";"29";"10,9";"1054";"52";"4,93";"4811";"27141372";"2253946";"7,67";"29395318";"78,13";"75";"21205554";"20356029";"7897";"2667";"13141512";"33,77";"49";"0";"200166";"6880,8";"5267";"237";"12449";"4379,68";"4113,5";"4,69";"4,89";"4,61";"4,74";"113";"5,56";"10,9"
"Рукоделие / Проволоки для рукоделия";"2";"2020-01-27";"24,5";"28";"43529";"5594";"3110";"7,14";"4666";"10,72";"3513";"8,07";"75,29";"736";"283";"38,45";"1526";"374";"24,51";"99079";"27141128";"9799912";"26,53";"36941040";"92,11";"91,92";"24999693";"24948125";"94230";"32675";"9371756";"34,68";"29";"0";"1000000";"856,3";"541";"50";"7082";"349,47";"242";"4,91";"4,95";"4,84";"4,87";"43";"11,38";"20,64"
"Товары для малышей / Электро-качели";"1";"2020-01-25";"26,5";"30";"6098";"803";"210";"3,44";"303";"4,97";"229";"3,76";"75,58";"234";"45";"19,23";"1111";"78";"7,02";"4250";"27141003";"5665758";"17,27";"32806761";"80,15";"78,63";"21753514";"21340971";"7281";"3732";"27040183";"51,26";"51";"0";"405495";"11856,15";"6881,5";"349";"25209";"8337,66";"7317";"4,61";"4,85";"4,53";"4,71";"75";"4,49";"7"
"Сантехника / Теплые полы";"1";"2020-01-25";"27,5";"31";"49147";"1318";"2228";"4,53";"2884";"5,87";"1377";"2,8";"47,75";"383";"91";"23,76";"824";"118";"14,32";"7075";"27113322";"3595323";"11,71";"30708645";"84,48";"84,03";"22905334";"22783324";"14219";"8932";"45548179";"62,82";"60";"0";"1709370";"10369,79";"7582";"111";"32478";"5005,12";"3822";"4,83";"4,91";"4,78";"4,8";"11";"4,57";"8,31"
"Садовая техника / Триммеры садовые";"3";"2020-01-25";"19,5";"23";"39047";"4260";"1241";"3,18";"1802";"4,61";"919";"2,35";"51";"1124";"192";"17,08";"3893";"389";"9,99";"5749";"27031760";"19785767";"42,26";"46817527";"88,54";"88,36";"23933920";"23885263";"18812";"14950";"72689788";"79,47";"98";"0";"4737602";"8673,5";"5297";"15";"98806";"5975,93";"3441";"4,48";"4,62";"4,41";"4,5";"20";"5,13";"6,31"
"Ювелирные украшения / Столовое серебро";"1";"2020-01-25";"33";"33";"6217";"242";"1062";"17,08";"1225";"19,7";"608";"9,78";"49,63";"105";"49";"46,67";"139";"47";"33,81";"4608";"27017286";"12128058";"30,98";"39145344";"64,15";"63,68";"17331589";"17204608";"10844";"8110";"78878122";"74,79";"71";"0";"1036120";"28501,79";"13025";"457";"116451";"12290,71";"8385";"4,86";"4,92";"4,79";"4,83";"12";"2,78";"5,56"
"Игрушки / Кубики";"2";"2020-01-25";"28,5";"32";"313899";"67562";"1882";"0,6";"2571";"0,82";"1740";"0,55";"67,68";"1973";"298";"15,1";"5230";"425";"8,13";"54653";"27003564";"4766695";"15";"31770259";"91,65";"91,37";"24748766";"24673156";"80678";"40547";"21233674";"50,26";"44";"0";"1213731";"3518,92";"1778";"25";"9302";"681,09";"447";"4,72";"4,88";"4,65";"4,78";"52";"8,74";"20,26"
"Спортивная одежда / Джерси";"2";"2020-01-25";"34,5";"38";"10881";"868";"1685";"15,49";"2314";"21,27";"1361";"12,51";"58,82";"336";"123";"36,61";"513";"150";"29,24";"14478";"26950180";"3090512";"10,29";"30040692";"55,76";"52,32";"15027420";"14100334";"27123";"16809";"38233499";"61,97";"56";"0";"79795";"4913,38";"3062";"357";"16252";"2399,17";"2109";"4,84";"4,9";"4,77";"4,81";"24";"5,23";"14,66"
"Ручной инструмент и оснастка / Мультитулы";"2";"2020-01-25";"31,5";"35";"67108";"12568";"1040";"1,55";"1578";"2,35";"1020";"1,52";"64,64";"1802";"287";"15,93";"4351";"437";"10,04";"23081";"26913883";"6073929";"18,41";"32987812";"89,44";"88,98";"24071777";"23947973";"26497";"12883";"16886610";"48,62";"34";"0";"1000000";"2378,68";"1173,5";"51";"44229";"2149,69";"903";"4,76";"4,9";"4,69";"4,78";"27";"7,29";"12,48"
"Аксессуары для волос / Заколки клик-клак";"1";"2020-01-25";"34,5";"38";"53594";"3887";"5014";"9,36";"6967";"13";"4511";"8,42";"64,75";"3728";"651";"17,46";"5010";"874";"17,45";"112849";"26709098";"9562815";"26,36";"36271913";"90,87";"90,83";"24270557";"24259874";"149526";"71891";"19397986";"48,08";"40";"0";"450000";"969,48";"333";"39";"2637";"282,17";"227";"4,8";"4,89";"4,73";"4,78";"47";"10,45";"16,69"
