"Название предмета";"Сезонность ниши";"Дата обнаружения";"Комиссия FBO";"Комиссия FBS";"Товары, шт.";"Количество новинок";"Товары с остатками, шт.";"% товаров с остатками";"Товары с движением, шт.";"% товаров с движением";"Товары с продажами, шт.";"% товаров с продажами";"% товаров с продажами от товаров с движением";"Бренды";"Бренды с продажами";"% брендов с продажами";"Продавцы";"Продавцы с продажами";"% продавцов с продажами";"Продажи, шт.";"Выручка, ₽";"Упущенная выручка, ₽";"Упущенная выручка %";"Потенциал, ₽";"Средний % выкупа";"Средний % выкупа с учётом возвратов";"Сумма выкупа, ₽";"Сумма выкупа с учётом возвратов, ₽";"Суммарные остатки, шт.";"Замороженный остаток, шт.";"Замороженный остаток в цене, ₽";"Замороженный остаток, %";"Оборачиваемость, дн.";"Минимальная цена, ₽";"Максимальная цена, ₽";"Средняя цена, ₽";"Медианная цена, ₽";"Минимальная цена с продажами, ₽";"Максимальная цена с продажами, ₽";"Средняя цена с продажами, ₽";"Медианная цена с продажами, ₽";"Средний рейтинг";"Средний рейтинг с продажами";"Средний дробный рейтинг";"Средний дробный рейтинг с продажами";"Количество кликов на карточку";"% добавления в корзину";"% оформления заказов"
"Одежда / Платья";"2";"2020-01-25";"34,5";"38";"1311715";"45544";"283228";"21,59";"334024";"25,46";"230294";"17,56";"68,95";"54581";"15211";"27,87";"86334";"16340";"18,93";"9488005";"22723463566";"3662225788";"13,88";"26385689354";"33,36";"29,26";"7580547446";"6648885439";"13390026";"7734557";"19876504484";"57,76";"42";"0";"8500000";"3061,08";"1756,5";"15";"202545";"2745,24";"2067,5";"4,65";"4,8";"4,54";"4,64";"110";"3,33";"13,67"
"Одежда / Джинсы";"2";"2020-01-25";"34,5";"38";"367577";"19977";"86360";"23,49";"105726";"28,76";"82055";"22,32";"77,61";"16815";"5328";"31,69";"25140";"5568";"22,15";"7285372";"18538673470";"2071052967";"10,05";"20609726437";"28,44";"24,35";"5272398735";"4514166990";"7812341";"3594493";"10979232155";"46,01";"32";"0";"6256602";"3113,04";"1989,5";"212";"189189";"2898,95";"2355";"4,72";"4,83";"4,59";"4,67";"120";"5,3";"22,28"
"Одежда / Костюмы";"2";"2020-01-25";"34,5";"38";"669860";"18105";"164855";"24,61";"194630";"29,06";"142942";"21,34";"73,44";"43859";"11971";"27,29";"54604";"13561";"24,84";"5911971";"18153463381";"2989132340";"14,14";"21142595721";"45,26";"41,61";"8216257526";"7553656113";"8760798";"5182387";"15024023603";"59,15";"44";"0";"5852000";"3448,61";"2116";"7";"339806";"3517,08";"2659,5";"4,67";"4,83";"4,56";"4,68";"132";"3,55";"11,94"
"Одежда / Брюки";"1";"2020-01-25";"34,5";"38";"798476";"31668";"254098";"31,82";"284895";"35,68";"156001";"19,54";"54,76";"37124";"11829";"31,86";"44889";"12693";"28,28";"8841381";"17479084397";"1873341055";"9,68";"19352425452";"37,19";"33,15";"6500471487";"5794316478";"13063264";"7348526";"15303112520";"56,25";"44";"0";"8019000";"2612,49";"1620";"22";"207900";"2358,24";"1669";"4,73";"4,84";"4,61";"4,69";"74";"5,09";"18,74"
"Одежда / Куртки";"2";"2020-01-25";"34,5";"38";"701101";"29708";"132697";"18,93";"163248";"23,28";"106900";"15,25";"65,48";"24880";"6535";"26,27";"35806";"7169";"20,02";"3287626";"15459348272";"4510521540";"22,59";"19969869812";"28,61";"25,29";"4422919541";"3909669178";"3890049";"2126485";"11613087172";"54,66";"35";"0";"8019000";"5695,34";"3692";"222";"1000000";"5757,62";"4245";"4,71";"4,83";"4,6";"4,69";"93";"3,48";"13,51"
"Обувь / Кроссовки";"2";"2020-01-25";"34,5";"38";"1909363";"141075";"193311";"10,12";"226613";"11,87";"162743";"8,52";"71,82";"15705";"4703";"29,95";"22565";"5665";"25,11";"4636059";"10761284007";"1344517135";"11,11";"12105801142";"42,83";"40,43";"4609057940";"4350787124";"16478451";"12280850";"30839634008";"74,53";"107";"0";"1428643";"5840,25";"5152";"151";"185654";"3054,46";"2379,5";"4,67";"4,8";"4,55";"4,65";"46";"4";"13,57"
"Обувь / Ботинки";"3";"2020-01-25";"34,5";"38";"605537";"32170";"126881";"20,95";"148167";"24,47";"103176";"17,04";"69,63";"10392";"3678";"35,39";"17354";"3794";"21,86";"3398731";"9821033815";"1108073344";"10,14";"10929107159";"36,35";"33,35";"3569945792";"3275314777";"6164439";"3678634";"10976624649";"59,68";"54";"0";"13167000";"5113,16";"3558";"222";"138663";"3899,54";"3019";"4,67";"4,8";"4,56";"4,65";"56";"3,76";"16,06"
"Спортивная одежда / Костюмы спортивные";"1";"2020-01-25";"34,5";"38";"377800";"16275";"73381";"19,42";"85935";"22,75";"63128";"16,71";"73,46";"26119";"5334";"20,42";"30516";"6341";"20,78";"2798892";"8975112497";"1228568781";"12,04";"10203681278";"46,19";"42,89";"4145604462";"3849425750";"3728726";"1982453";"5790975810";"53,17";"40";"0";"6771600";"3313,21";"1997";"75";"343035";"3760,33";"2786";"4,67";"4,83";"4,56";"4,68";"127";"4,09";"15"
"Одежда / Футболки";"2";"2020-01-25";"34,5";"38";"6442612";"604944";"712010";"11,05";"787066";"12,22";"316091";"4,91";"40,16";"42338";"11450";"27,04";"46282";"11741";"25,37";"9671333";"7127326195";"1135360339";"13,74";"8262686534";"63,44";"61,11";"4521575738";"4355509038";"21157763";"13178786";"11918457492";"62,29";"66";"0";"8019000";"1347,06";"1162";"31";"2700000";"1038,42";"881,5";"4,81";"4,88";"4,73";"4,78";"41";"5,06";"14,09"
"Одежда / Юбки";"1";"2020-01-25";"34,5";"38";"300849";"13175";"81462";"27,08";"94278";"31,34";"67659";"22,49";"71,77";"24455";"7713";"31,54";"33976";"8331";"24,52";"3410557";"6240101746";"723963280";"10,4";"6964065026";"33,42";"29,05";"2085442004";"1812749557";"5004967";"2781941";"5832538384";"55,58";"44";"0";"7724695";"2334,55";"1326";"81";"195170";"2110,66";"1612";"4,74";"4,86";"4,61";"4,7";"79";"4,69";"16,86"
"Одежда / Рубашки";"2";"2020-01-25";"34,5";"38";"396661";"12324";"95935";"24,19";"114173";"28,78";"81809";"20,62";"71,65";"24646";"6923";"28,09";"30289";"7723";"25,5";"3868669";"6091532048";"785295907";"11,42";"6876827955";"43,72";"39,94";"2663217811";"2432957900";"6320452";"3638370";"6610245246";"57,57";"49";"0";"3690000";"2426,55";"1389,5";"73";"95647";"1946,17";"1499,5";"4,74";"4,86";"4,62";"4,72";"63";"4,89";"17,31"
"Одежда / Пуховики";"3";"2020-01-25";"34,5";"38";"225431";"17643";"25023";"11,1";"32349";"14,35";"24699";"10,96";"76,35";"6670";"1649";"24,72";"10372";"1849";"17,83";"678426";"5870113298";"1626117039";"21,69";"7496230337";"25,83";"21,6";"1516250265";"1267944472";"496193";"228207";"4635396823";"45,99";"22";"0";"7710621";"8814,31";"5766,5";"368";"158600";"10231,66";"7331";"4,64";"4,76";"4,52";"4,61";"132";"3,15";"14,34"
"Одежда / Пальто";"3";"2020-01-25";"34,5";"38";"161111";"4667";"30674";"19,04";"37471";"23,26";"26356";"16,36";"70,34";"8071";"2001";"24,79";"12255";"2058";"16,79";"782256";"5658958195";"1292673639";"18,6";"6951631834";"23,21";"20,08";"1313444197";"1136318806";"953156";"507255";"4648202843";"53,22";"37";"0";"8019000";"7800,63";"5270";"297";"303200";"8987,99";"7276";"4,67";"4,8";"4,56";"4,65";"81";"3,16";"11,18"
"Обувь / Туфли";"2";"2020-01-25";"34,5";"38";"344496";"9190";"93144";"27,04";"108188";"31,4";"79114";"22,97";"73,13";"7098";"2617";"36,87";"13571";"2541";"18,72";"2274910";"5246482604";"631530457";"10,74";"5878013061";"31,85";"28,66";"1671004709";"1503641914";"6374287";"4364834";"10833552175";"68,48";"84";"0";"1000000";"4068,46";"2481";"91";"620850";"3341,53";"2392";"4,71";"4,84";"4,59";"4,68";"57";"4,35";"15,05"
"Обувь / Сапоги";"3";"2020-01-25";"34,5";"38";"145463";"6876";"39211";"26,96";"46636";"32,06";"34436";"23,67";"73,84";"4880";"1613";"33,05";"7643";"1624";"21,25";"1344082";"5182379382";"670128361";"11,45";"5852507743";"28,18";"24,71";"1460394510";"1280565945";"1373831";"628728";"2496933482";"45,76";"31";"0";"1000000";"5540,4";"3823";"120";"175839";"5314,57";"3868,5";"4,66";"4,78";"4,54";"4,63";"67";"3,68";"16,21"
"Одежда / Пижамы";"2";"2020-01-25";"34,5";"38";"414642";"22694";"70638";"17,04";"83290";"20,09";"60508";"14,59";"72,65";"20816";"5236";"25,15";"26081";"6067";"23,26";"3949503";"5019320152";"624836346";"11,07";"5644156498";"61,5";"60,99";"3086881893";"3061283361";"6001646";"3202005";"4019330582";"53,35";"46";"0";"1000000";"1979,17";"1264,5";"51";"73300";"1511,76";"1167,5";"4,79";"4,9";"4,68";"4,77";"126";"3,83";"16,78"
"Одежда / Лонгсливы";"2";"2020-01-25";"34,5";"38";"281580";"16697";"72356";"25,7";"83356";"29,6";"60428";"21,46";"72,49";"17812";"6083";"34,15";"23026";"6690";"29,05";"4668898";"5013572527";"527493530";"9,52";"5541066057";"48,77";"46,08";"2445119321";"2310254220";"7089843";"3552518";"4296170138";"50,11";"46";"0";"1809500";"1558,97";"1043,5";"95";"1809500";"1345,12";"1052";"4,79";"4,88";"4,67";"4,75";"137";"5,24";"19,47"
"Аксессуары / Сумки";"1";"2020-01-25";"34,5";"38";"3387396";"522863";"178117";"5,26";"230016";"6,79";"147899";"4,37";"64,3";"48608";"10075";"20,73";"64139";"12715";"19,82";"2532751";"4938347062";"1701829537";"25,63";"6640176599";"58,65";"56,83";"2896340552";"2806462635";"3460921";"1920629";"4207433730";"55,49";"41";"0";"13360000";"4089,48";"1729";"49";"501066";"3002,31";"1761,5";"4,68";"4,82";"4,6";"4,71";"46";"4,58";"9,85"
"Одежда / Свитеры";"3";"2020-01-25";"34,5";"38";"332846";"15895";"56170";"16,88";"70936";"21,31";"54208";"16,29";"76,42";"18169";"4016";"22,1";"22937";"4556";"19,86";"2379155";"4750635709";"1122596495";"19,11";"5873232204";"38,53";"35,02";"1830419939";"1663672625";"2098147";"1022398";"2159916689";"48,73";"26";"0";"8019000";"2771,39";"1589,5";"98";"106656";"2066,84";"1636,5";"4,67";"4,84";"4,56";"4,69";"127";"4,08";"18,48"
"Одежда / Блузки";"1";"2020-01-25";"34,5";"38";"313478";"15273";"75030";"23,93";"86348";"27,55";"60006";"19,14";"69,49";"15723";"4862";"30,92";"20492";"5200";"25,38";"2881677";"4746239054";"737157398";"13,44";"5483396452";"36,67";"32,64";"1740445861";"1549172427";"4343476";"2424468";"4100360226";"55,82";"45";"0";"900000";"2179,51";"1315";"89";"106023";"1963,26";"1490";"4,68";"4,83";"4,56";"4,67";"80";"4,08";"15,42"
"Одежда / Пиджаки";"2";"2020-01-25";"34,5";"38";"84126";"3730";"23179";"27,55";"27769";"33,01";"18957";"22,53";"68,27";"9422";"2873";"30,49";"13510";"3306";"24,47";"1235469";"4280945597";"781079708";"15,43";"5062025305";"27,07";"22,84";"1158851973";"977767974";"1212142";"546323";"2090537451";"45,07";"29";"0";"8400000";"4920,42";"2799";"49";"215057";"4362,77";"3216";"4,66";"4,82";"4,54";"4,66";"88";"4,08";"15,47"
"Белье / Трусы";"1";"2020-01-25";"34,5";"38";"639179";"34848";"138174";"21,62";"157331";"24,61";"86556";"13,54";"55,02";"20609";"4346";"21,09";"22652";"5063";"22,35";"5377854";"3988272801";"303749567";"7,08";"4292022368";"77,98";"77,82";"3110055130";"3103673894";"8683618";"4143631";"3070651420";"47,72";"48";"0";"4881600";"1011,62";"603";"30";"72091";"766,35";"629";"4,78";"4,9";"4,68";"4,77";"54";"5,46";"18,98"
"Одежда / Джемперы";"2";"2020-01-25";"34,5";"38";"266191";"7640";"60428";"22,7";"71603";"26,9";"50810";"19,09";"70,96";"9987";"2636";"26,39";"11689";"2675";"22,88";"2020465";"3957739401";"976057807";"19,78";"4933797208";"41,06";"37,01";"1625047798";"1464759352";"2195294";"1074573";"2290725119";"48,95";"33";"0";"900000";"3139,08";"1653";"109";"104415";"2434";"1913";"4,72";"4,84";"4,61";"4,7";"102";"4,07";"16,83"
"Смартфоны и гаджеты / Смартфоны";"1";"2020-01-25";"16,5";"20";"463202";"49248";"9590";"2,07";"16699";"3,61";"12417";"2,68";"74,36";"1063";"154";"14,49";"5656";"1049";"18,55";"129713";"3911770181";"5635988976";"59,03";"9547759157";"86,23";"86,05";"3373119427";"3366078241";"152654";"93033";"2056956265";"60,94";"35";"0";"18000000";"53930,4";"19050,5";"22";"1000000";"31868,13";"18098";"4,58";"4,71";"4,53";"4,65";"39";"5,83";"6,57"
"Белье / Бюстгальтеры";"1";"2020-01-25";"34,5";"38";"207232";"19106";"55451";"26,76";"62988";"30,39";"45579";"21,99";"72,36";"5860";"1762";"30,07";"7248";"2135";"29,46";"3306560";"3808370657";"184204140";"4,61";"3992574797";"49,48";"49,15";"1884381801";"1871814178";"5441702";"2430001";"3181347094";"44,66";"49";"0";"171690";"1687,46";"1016";"44";"36400";"1545,07";"1130";"4,77";"4,88";"4,65";"4,73";"80";"5,62";"20,94"
"Белье / Костюмы купальные";"3";"2020-01-25";"34,5";"38";"217854";"11057";"47228";"21,68";"55561";"25,5";"41087";"18,86";"73,95";"9236";"2624";"28,41";"12787";"2916";"22,8";"1932057";"3712452983";"361889413";"8,88";"4074342396";"28,45";"28,04";"1056192874";"1040971816";"3769278";"2114789";"4595790192";"56,11";"59";"0";"1000000";"2601,47";"1453";"84";"73300";"2277,57";"1695";"4,67";"4,8";"4,56";"4,65";"156";"4,34";"18,54"
"Одежда / Шубы искусственные";"3";"2020-01-25";"34,5";"38";"43519";"1661";"10357";"23,8";"13367";"30,72";"11178";"25,69";"83,62";"2726";"939";"34,45";"5372";"1165";"21,69";"379513";"3653284527";"1133614782";"23,68";"4786899309";"22,23";"18,39";"812125150";"671839025";"150575";"46341";"779929433";"30,78";"12";"0";"7280000";"11332,62";"7284";"628";"1000000";"10385,45";"8963";"4,7";"4,82";"4,6";"4,69";"209";"2,8";"16,35"
"Одежда / Худи";"1";"2020-01-25";"34,5";"38";"369714";"28648";"62531";"16,91";"69842";"18,89";"35726";"9,66";"51,15";"15949";"3659";"22,94";"18938";"4101";"21,65";"1652639";"3485831915";"468263929";"11,84";"3954095844";"42,93";"40,31";"1496467641";"1405138845";"2403595";"1270196";"2752450001";"52,85";"44";"0";"1055349";"2997,92";"2755,5";"186";"254880";"2577,8";"2166";"4,71";"4,83";"4,62";"4,69";"112";"4,9";"15,52"
"Спортивная одежда / Брюки спортивные";"1";"2020-01-25";"34,5";"38";"170227";"11630";"49263";"28,94";"55944";"32,86";"33689";"19,79";"60,22";"9337";"3381";"36,21";"11964";"4132";"34,54";"1948363";"3323261079";"342119275";"9,33";"3665380354";"40,05";"36,32";"1330966062";"1207008424";"2674363";"1540640";"2590390429";"57,61";"41";"0";"7710621";"2377,33";"1333";"15";"57965";"2078,68";"1448";"4,74";"4,84";"4,63";"4,7";"98";"5,61";"21,26"
"Текстиль для дома / Постельное белье";"1";"2020-01-25";"29,5";"33";"809633";"56248";"63935";"7,9";"81706";"10,09";"57766";"7,13";"70,7";"6651";"1214";"18,25";"8323";"1503";"18,06";"1591297";"3126774516";"880550681";"21,97";"4007325197";"82,59";"82,4";"2582403073";"2576462201";"3087744";"1573883";"3132073688";"50,97";"58";"0";"2899999";"4377,86";"2977,5";"109";"54935";"3262,02";"2443";"4,71";"4,89";"4,63";"4,76";"96";"3,92";"10,78"
"Одежда / Комбинезоны";"2";"2020-01-25";"34,5";"38";"127549";"6097";"25896";"20,3";"30504";"23,92";"20751";"16,27";"68,03";"8594";"2279";"26,52";"14826";"2500";"16,86";"643532";"3011429006";"709732074";"19,07";"3721161080";"33,94";"29,37";"1022079005";"884456699";"865201";"478622";"2043482676";"55,32";"40";"0";"1000000";"3842,43";"2410";"158";"203742";"4607,63";"3580";"4,75";"4,87";"4,64";"4,73";"62";"3,59";"13,65"
"Одежда / Свитшоты";"2";"2020-01-25";"34,5";"38";"470679";"55369";"51506";"10,94";"59632";"12,67";"38642";"8,21";"64,8";"14036";"3947";"28,12";"17300";"4378";"25,31";"1811351";"2938283123";"439838297";"13,02";"3378121420";"44,33";"40,86";"1302540908";"1200582484";"2470683";"1305174";"2203183063";"52,83";"41";"0";"900000";"2557,73";"2234,5";"185";"91388";"1956,78";"1525,5";"4,73";"4,87";"4,63";"4,74";"102";"4,63";"17,95"
"Обувь / Ботильоны";"3";"2020-01-25";"34,5";"38";"66171";"2182";"20962";"31,68";"25032";"37,83";"20663";"31,23";"82,55";"2029";"780";"38,44";"3593";"757";"21,07";"902682";"2790896442";"363484215";"11,52";"3154380657";"30,8";"27,65";"859596104";"771682866";"1474010";"804049";"2582122997";"54,55";"49";"0";"105224";"5187,03";"3747";"467";"105224";"4655,6";"3497,5";"4,75";"4,85";"4,62";"4,7";"71";"4,24";"15,68"
"Одежда / Топы";"2";"2020-01-25";"34,5";"38";"270792";"8850";"58860";"21,74";"69655";"25,72";"49346";"18,22";"70,84";"20124";"5286";"26,27";"25828";"5918";"22,91";"2444834";"2544037785";"379087147";"12,97";"2923124932";"46,28";"43,46";"1177380687";"1105638821";"4287334";"2456754";"2849788478";"57,3";"53";"0";"7724695";"1337,24";"719";"44";"107016";"1219,69";"828";"4,69";"4,84";"4,58";"4,7";"57";"5,62";"16,01"
"Одежда / Кардиганы";"1";"2020-01-25";"34,5";"38";"169760";"5157";"33517";"19,74";"41620";"24,52";"30641";"18,05";"73,62";"13466";"3207";"23,82";"16213";"3534";"21,8";"1108041";"2527135606";"683812888";"21,3";"3210948494";"38,61";"34,68";"975727057";"876410628";"1328490";"679943";"1792678628";"51,18";"36";"0";"1711110";"2837,71";"1748";"125";"119507";"2648,14";"2085";"4,7";"4,84";"4,6";"4,7";"112";"3,9";"15,08"
"Одежда / Халаты домашние";"1";"2020-01-25";"34,5";"38";"107438";"3123";"29123";"27,11";"33275";"30,97";"23850";"22,2";"71,68";"5354";"1690";"31,57";"6675";"1878";"28,13";"1424713";"2380161922";"237229221";"9,06";"2617391143";"56,65";"53,85";"1348361729";"1281717195";"1681250";"716854";"1183754548";"42,64";"35";"0";"900000";"2345,67";"1441";"199";"67221";"2008,38";"1585";"4,8";"4,91";"4,67";"4,75";"130";"3,48";"15,9"
"Обувь / Угги";"3";"2020-01-25";"34,5";"38";"87011";"2327";"24918";"28,64";"29201";"33,56";"23330";"26,81";"79,89";"3474";"1450";"41,74";"5790";"1766";"30,5";"1063126";"2352690518";"429914423";"15,45";"2782604941";"33,86";"30,72";"796621009";"722746527";"869760";"410233";"975356157";"47,17";"25";"0";"167400";"3702,72";"2250";"255";"70992";"2427,27";"1929";"4,69";"4,78";"4,56";"4,63";"125";"3,8";"24,2"
"Здоровье / БАДы";"1";"2020-01-25";"24,5";"28";"305041";"18765";"28539";"9,36";"39603";"12,98";"31858";"10,44";"80,44";"5594";"2466";"44,08";"4879";"2099";"43,02";"2925859";"2337280800";"217028934";"8,5";"2554309734";"92,21";"92,16";"2155206626";"2154037985";"5203284";"2255219";"1911237565";"43,34";"53";"0";"12666240";"4231,94";"1006";"46";"71100";"1301,22";"903";"4,87";"4,96";"4,8";"4,85";"103";"11,45";"22,92"
"Одежда / Леггинсы";"2";"2020-01-25";"34,5";"38";"126231";"3491";"31161";"24,69";"36052";"28,56";"24033";"19,04";"66,66";"14575";"3295";"22,61";"17481";"3766";"21,54";"1976527";"2331087679";"209277259";"8,24";"2540364938";"45,96";"42,78";"1071367897";"997239309";"2543500";"1218176";"1245052311";"47,89";"39";"0";"1000000";"1095";"666,5";"60";"59259";"1178,49";"855";"4,69";"4,82";"4,58";"4,67";"105";"5,7";"22,58"
"Обувь / Кеды";"2";"2020-01-25";"34,5";"38";"265949";"11011";"53530";"20,13";"62708";"23,58";"44582";"16,76";"71,09";"7188";"2236";"31,11";"10101";"2600";"25,74";"924241";"2323593628";"422678108";"15,39";"2746271736";"36,02";"33,31";"836958425";"773989037";"3451026";"2597120";"7414275209";"75,26";"112";"0";"900000";"4232,4";"3000,5";"89";"80512";"3597,02";"2880";"4,64";"4,76";"4,53";"4,62";"40";"4,32";"13,1"
"Одежда / Жилеты";"2";"2020-01-25";"34,5";"38";"192926";"13700";"40963";"21,23";"48837";"25,31";"34232";"17,74";"70,09";"15056";"4600";"30,55";"19384";"5172";"26,68";"1053878";"2262100182";"407479446";"15,26";"2669579628";"36,64";"32,49";"828833507";"734956349";"1760775";"1036794";"2772714105";"58,88";"50";"0";"900000";"2937,66";"1841";"123";"142600";"2659,36";"2043";"4,77";"4,88";"4,65";"4,74";"69";"4,47";"14,85"
"Головные уборы / Шапки";"3";"2020-01-25";"34,5";"38";"1003537";"81003";"145053";"14,45";"174043";"17,34";"106468";"10,61";"61,17";"21870";"4401";"20,12";"28932";"5168";"17,86";"2368718";"2259555465";"750317325";"24,93";"3009872790";"47,48";"44,4";"1072836935";"1003242626";"4003453";"2570010";"2225451210";"64,19";"51";"0";"1000000";"1382,51";"829";"39";"110880";"1266,18";"858";"4,78";"4,88";"4,7";"4,77";"38";"5,41";"18,59"
"Ювелирные украшения / Ювелирные кольца";"1";"2020-01-25";"33";"33";"236875";"19570";"54346";"22,94";"59384";"25,07";"37617";"15,88";"63,35";"1341";"715";"53,32";"1397";"710";"50,82";"587987";"2244288691";"291846977";"11,51";"2536135668";"54,98";"54,7";"1233909922";"1227625914";"1804951";"1234487";"4105344657";"68,39";"92";"0";"4816000";"16534,58";"4111,5";"154";"382467";"5785,52";"2297,5";"4,83";"4,9";"4,76";"4,8";"48";"4,41";"8,27"
"Красота / Кремы";"1";"2020-01-25";"32,5";"36";"2676859";"639879";"71793";"2,68";"109150";"4,08";"76811";"2,87";"70,37";"30575";"7488";"24,49";"38367";"9472";"24,69";"3488523";"2084574585";"387384855";"15,67";"2471959440";"92,78";"92,73";"1934068300";"1933026013";"6175591";"3147206";"2460461484";"50,96";"53";"0";"1000000";"1186,19";"531";"21";"56265";"941,63";"544";"4,76";"4,88";"4,69";"4,76";"76";"10,38";"18,03"
"Одежда / Кофты";"2";"2020-01-25";"34,5";"38";"137890";"5708";"34063";"24,7";"39283";"28,49";"22463";"16,29";"57,18";"9974";"2190";"21,96";"11655";"2456";"21,07";"1343012";"2064203938";"353638893";"14,63";"2417842831";"44,38";"41,36";"916093708";"853754749";"1252120";"557329";"865204888";"44,51";"28";"0";"6326100";"2145,18";"1300,5";"150";"46690";"1879,49";"1457";"4,7";"4,86";"4,59";"4,71";"190";"3,88";"16,34"
"Одежда / Шорты";"3";"2020-01-25";"34,5";"38";"295567";"8000";"78610";"26,6";"90112";"30,49";"53490";"18,1";"59,36";"18958";"6154";"32,46";"22316";"6738";"30,19";"1760243";"2039862231";"303820896";"12,96";"2343683127";"49,32";"45,83";"1006060052";"934868860";"4869715";"3517280";"6056695926";"72,23";"83";"0";"6682500";"1686,46";"993";"68";"124740";"1478,25";"1028";"4,79";"4,89";"4,68";"4,76";"40";"5,67";"16,18"
"Книжная продукция и диски / Книги";"1";"2020-01-25";"29,5";"33";"8879328";"467405";"339095";"3,82";"430219";"4,85";"218984";"2,47";"50,9";"22785";"3957";"17,37";"16226";"2482";"15,3";"3698813";"1784173597";"424536647";"19,22";"2208710244";"91,92";"91,85";"1640012370";"1638763449";"10168903";"6693710";"3596482369";"65,83";"82";"0";"3015928";"1458,9";"1012";"15";"89151";"729,73";"542";"4,88";"4,94";"4,85";"4,89";"34";"9,97";"17,05"
"Обувь / Дутики";"3";"2020-01-25";"34,5";"38";"75530";"2202";"17728";"23,47";"22009";"29,14";"16627";"22,01";"75,55";"3165";"1243";"39,27";"4784";"1294";"27,05";"783747";"1702688031";"243607626";"12,52";"1946295657";"37,6";"34,3";"640210700";"584021995";"680971";"284609";"615215024";"41,79";"26";"0";"614700";"2480,45";"1727";"191";"74133";"2224,71";"1767,5";"4,7";"4,8";"4,57";"4,64";"98";"3,67";"20,91"
"Одежда / Толстовки";"1";"2020-01-25";"34,5";"38";"232080";"21955";"41360";"17,82";"48830";"21,04";"28435";"12,25";"58,23";"9036";"2375";"26,28";"10554";"2550";"24,16";"902602";"1670546073";"370198801";"18,14";"2040744874";"44,87";"41,35";"749574023";"690770801";"1215639";"668115";"1430189131";"54,96";"40";"0";"7710621";"2753,22";"1638";"175";"79299";"2343,55";"1777";"4,73";"4,85";"4,63";"4,72";"70";"4,72";"15,52"
"Ювелирные украшения / Ювелирные серьги";"1";"2020-01-25";"33";"33";"346381";"39283";"72411";"20,91";"84518";"24,4";"53491";"15,44";"63,29";"1533";"786";"51,27";"2193";"785";"35,8";"481188";"1631425386";"665439890";"28,97";"2296865276";"68,47";"68,26";"1117036962";"1113610968";"1184513";"769194";"2557586541";"64,94";"74";"0";"8378992";"16650,53";"3227";"140";"280508";"5882,44";"2427";"4,79";"4,88";"4,71";"4,77";"36";"4,71";"7,58"
"Обувь / Лоферы";"2";"2020-01-25";"34,5";"38";"267742";"20589";"29647";"11,07";"34444";"12,86";"25012";"9,34";"72,62";"4139";"1537";"37,13";"6263";"1606";"25,64";"632157";"1608011500";"272330052";"14,48";"1880341552";"34,46";"31,82";"554120763";"511669259";"2036969";"1479805";"4373764838";"72,65";"97";"0";"620350";"6245,02";"4945";"208";"69314";"3628,92";"2797";"4,65";"4,79";"4,52";"4,63";"52";"4,03";"13,71"
"Аксессуары для электроники / Чехлы для телефонов";"1";"2020-01-25";"29,5";"33";"25653669";"3331102";"1216343";"4,74";"1382243";"5,39";"464419";"1,81";"33,6";"10618";"2798";"26,35";"17589";"3378";"19,21";"3852502";"1605153644";"386330486";"19,4";"1991484130";"77,67";"76,37";"1246722835";"1225855838";"9483732";"6262628";"2871250707";"66,04";"74";"0";"7129999";"582,02";"459";"11";"44629";"471,07";"358";"4,75";"4,83";"4,69";"4,73";"10";"4,83";"11,88"
"Белье / Комплекты белья";"1";"2020-01-25";"34,5";"38";"130069";"10263";"15959";"12,27";"19334";"14,86";"14885";"11,44";"76,99";"9272";"1480";"15,96";"10961";"1810";"16,51";"1210836";"1536271987";"98681570";"6,04";"1634953557";"52,81";"52,62";"811305236";"808386320";"1605723";"719142";"863187897";"44,79";"40";"0";"3000000";"1384,87";"854";"100";"71300";"1237,33";"1010";"4,71";"4,85";"4,6";"4,71";"177";"4,51";"19,65"
"Одежда / Дубленки";"3";"2020-01-25";"34,5";"38";"27770";"1132";"5149";"18,54";"7066";"25,44";"5754";"20,72";"81,43";"1953";"567";"29,03";"3546";"665";"18,75";"182623";"1533016852";"386701855";"20,14";"1919718707";"23,19";"20,54";"355506608";"314881661";"111974";"43123";"364120499";"38,51";"18";"0";"8019000";"23349,85";"9615,5";"999";"1000000";"12167,75";"8179,5";"4,6";"4,76";"4,5";"4,61";"182";"2,8";"12,9"
"Спортивная одежда / Комбинезоны спортивные";"1";"2020-01-25";"34,5";"38";"21255";"3518";"4874";"22,93";"5999";"28,22";"5420";"25,5";"90,35";"1399";"669";"47,82";"2368";"816";"34,46";"394652";"1512510980";"314680965";"17,22";"1827191945";"25,25";"20,95";"381909022";"316871050";"307921";"103172";"299255708";"33,51";"23";"0";"203280";"7667,64";"2448";"237";"140436";"6954,95";"2813,5";"4,78";"4,86";"4,66";"4,73";"186";"4,37";"21,42"
