metric,pre_average,post_average,absolute_change,relative_change_pct,unit,caveat
Среднее число SKU с положительным остатком в Астане,10.75,8.00,-2.75,-25.58,SKU,Среднее четырех дневных значений до и после события
Средний дневной наблюдаемый остаток атрибутированный Астане,13.50,11.00,-2.50,-18.52,единица,Нижняя граница; отсутствующая warehouse-строка не равна явному нулю
Средний дневной суммарный остаток панели по всем складам,210639.0,104016.5,-106622.5,-50.62,единица,Описывает только фиксированную панель из 40 SKU
Среднее дневных медиан активных складов на SKU,17.625,11.875,-5.750,-32.62,склад,Среднее четырех дневных медиан до и после события
